Title,Price_GBP,Rating_Num,Stock_Quantity,Rating_Percentage,Price_Band,Stock_Status
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,14,60.0,Premium,Healthy Stock
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,16,100.0,Budget,Healthy Stock
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,15,100.0,Budget,Healthy Stock
"Pop Gun War, Volume 1: Gift",18.97,1,8,20.0,Budget,Healthy Stock
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,14,40.0,Standard,Healthy Stock
Patience,10.16,3,23,60.0,Budget,Healthy Stock
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,25,80.0,Budget,Healthy Stock
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,8,20.0,Premium,Healthy Stock
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,21,20.0,Premium,Healthy Stock
On a Midnight Clear,14.07,3,16,60.0,Budget,Healthy Stock
Obsidian (Lux #1),14.86,2,13,40.0,Budget,Healthy Stock
My Paris Kitchen: Recipes and Stories,33.37,2,18,40.0,Standard,Healthy Stock
Masks and Shadows,56.4,2,15,40.0,Premium,Healthy Stock
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,21,80.0,Budget,Healthy Stock
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,24,40.0,Premium,Healthy Stock
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,25,60.0,Premium,Healthy Stock
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,13,40.0,Budget,Healthy Stock
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,9,20.0,Standard,Healthy Stock
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,15,40.0,Premium,Healthy Stock
Join,35.67,5,13,100.0,Standard,Healthy Stock
In the Country We Love: My Family Divided,22.0,4,1,80.0,Budget,Low Stock
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,25,100.0,Premium,Healthy Stock
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,7,40.0,Standard,Healthy Stock
I am a Hero Omnibus Volume 1,54.63,3,9,60.0,Premium,Healthy Stock
How to Be Miserable: 40 Strategies You Already Use,46.03,1,24,20.0,Premium,Healthy Stock
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,1,20.0,Standard,Low Stock
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,12,40.0,Budget,Healthy Stock
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,8,60.0,Standard,Healthy Stock
First and First (Five Boroughs #3),15.97,4,24,80.0,Budget,Healthy Stock
Fifty Shades Darker (Fifty Shades #2),21.96,1,11,20.0,Budget,Healthy Stock
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,19,40.0,Premium,Healthy Stock
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,17,40.0,Standard,Healthy Stock
Danganronpa Volume 1,51.99,4,8,80.0,Premium,Healthy Stock
Crown of Midnight (Throne of Glass #2),43.29,3,3,60.0,Standard,Low Stock
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,3,80.0,Standard,Low Stock
Camp Midnight,17.08,4,1,80.0,Budget,Low Stock
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,5,100.0,Standard,Healthy Stock
Burning,28.81,3,10,60.0,Standard,Healthy Stock
Bossypants,49.46,2,7,40.0,Premium,Healthy Stock
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,9,40.0,Standard,Healthy Stock
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,7,40.0,Standard,Healthy Stock
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,9,20.0,Standard,Healthy Stock
A World of Flavor: Your Gluten Free Passport,42.95,1,8,20.0,Standard,Healthy Stock
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,12,100.0,Premium,Healthy Stock
A Murder in Time,16.64,1,2,20.0,Budget,Low Stock
A Flight of Arrows (The Pathfinders #2),55.53,5,1,100.0,Premium,Low Stock
A Fierce and Subtle Poison,28.13,4,16,80.0,Standard,Healthy Stock
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,23,20.0,Premium,Healthy Stock
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,23,100.0,Premium,Healthy Stock
You Are What You Love: The Spiritual Power of Habit,21.87,4,24,80.0,Budget,Healthy Stock
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,5,80.0,Standard,Healthy Stock
Tuesday Nights in 1980,21.04,2,3,40.0,Budget,Low Stock
Tracing Numbers on a Train,41.6,3,12,60.0,Standard,Healthy Stock
Throne of Glass (Throne of Glass #1),35.07,3,8,60.0,Standard,Healthy Stock
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,22,20.0,Premium,Healthy Stock
Thirteen Reasons Why,52.72,1,3,20.0,Premium,Low Stock
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,1,80.0,Premium,Low Stock
The Wedding Dress,24.12,1,3,20.0,Budget,Low Stock
The Vacationers,42.15,4,5,80.0,Standard,Healthy Stock
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,15,100.0,Budget,Healthy Stock
The Stranger,17.44,4,14,80.0,Budget,Healthy Stock
The Shadow Hero (The Shadow Hero),33.14,1,3,20.0,Standard,Low Stock
The Secret (The Secret #1),27.37,4,1,80.0,Standard,Low Stock
The Regional Office Is Under Attack!,51.36,5,5,100.0,Premium,Healthy Stock
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,23,40.0,Standard,Healthy Stock
The Project,10.65,1,14,20.0,Budget,Healthy Stock
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,7,40.0,Standard,Healthy Stock
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,9,40.0,Standard,Healthy Stock
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,15,100.0,Standard,Healthy Stock
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,15,80.0,Premium,Healthy Stock
The Mistake (Off-Campus #2),43.29,3,10,60.0,Standard,Healthy Stock
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,13,20.0,Premium,Healthy Stock
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,19,40.0,Standard,Healthy Stock
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,7,20.0,Budget,Healthy Stock
The Kite Runner,41.82,4,17,80.0,Standard,Healthy Stock
The House by the Lake,36.95,1,20,20.0,Standard,Healthy Stock
The Glittering Court (The Glittering Court #1),44.28,1,4,20.0,Premium,Low Stock
The Girl on the Train,55.02,2,5,40.0,Premium,Healthy Stock
The Genius of Birds,17.24,1,23,20.0,Budget,Healthy Stock
The Emerald Mystery,23.15,2,7,40.0,Budget,Healthy Stock
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,13,20.0,Standard,Healthy Stock
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,15,60.0,Standard,Healthy Stock
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,11,100.0,Standard,Healthy Stock
The Art of War,33.34,5,4,100.0,Standard,Low Stock
The Argonauts,10.93,2,13,40.0,Budget,Healthy Stock
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,7,60.0,Standard,Healthy Stock
Suddenly in Love (Lake Haven #1),55.99,2,19,40.0,Premium,Healthy Stock
Something More Than This,16.24,4,22,80.0,Budget,Healthy Stock
Soft Apocalypse,26.12,2,2,40.0,Budget,Low Stock
So You've Been Publicly Shamed,12.23,2,10,40.0,Budget,Healthy Stock
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,13,40.0,Budget,Healthy Stock
"Shobu Samurai, Project Aryoku (#3)",29.06,3,25,60.0,Standard,Healthy Stock
Secrets and Lace (Fatal Hearts #1),20.27,1,21,20.0,Budget,Healthy Stock
Scarlett Epstein Hates It Here,43.55,5,6,100.0,Standard,Healthy Stock
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,12,20.0,Standard,Healthy Stock
Redeeming Love,20.47,5,12,100.0,Budget,Healthy Stock
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,20,20.0,Standard,Healthy Stock
Poems That Make Grown Women Cry,14.19,4,11,80.0,Budget,Healthy Stock
"Nightingale, Sing",38.28,1,23,20.0,Standard,Healthy Stock
Night Sky with Exit Wounds,41.05,1,25,20.0,Standard,Healthy Stock
Mrs. Houdini,30.25,5,7,100.0,Standard,Healthy Stock
Modern Romance,28.26,5,1,100.0,Standard,Low Stock
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,1,1,20.0,Budget,Low Stock
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,25,40.0,Budget,Healthy Stock
Little Red,13.47,3,25,60.0,Budget,Healthy Stock
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5,20,100.0,Premium,Healthy Stock
Large Print Heart of the Pride,19.15,2,13,40.0,Budget,Healthy Stock
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,9,80.0,Premium,Healthy Stock
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,3,20.0,Standard,Low Stock
Grumbles,22.16,2,7,40.0,Budget,Healthy Stock
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,6,80.0,Premium,Healthy Stock
Frostbite (Vampire Academy #2),29.99,5,8,100.0,Standard,Healthy Stock
Follow You Home,21.36,1,9,20.0,Budget,Healthy Stock
First Steps for New Christians (Print Edition),29.0,1,5,20.0,Standard,Healthy Stock
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,1,100.0,Premium,Low Stock
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,19,80.0,Standard,Healthy Stock
Eureka Trivia 6.0,54.59,4,10,80.0,Premium,Healthy Stock
Drive: The Surprising Truth About What Motivates Us,34.95,4,12,80.0,Standard,Healthy Stock
Done Rubbed Out (Reightman & Bailey #1),37.72,5,24,100.0,Standard,Healthy Stock
Doing It Over (Most Likely To #1),35.61,3,15,60.0,Standard,Healthy Stock
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,22,60.0,Standard,Healthy Stock
Dark Notes,19.19,5,24,100.0,Budget,Healthy Stock
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,9,60.0,Budget,Healthy Stock
Close to You,49.46,4,20,80.0,Premium,Healthy Stock
Chasing Heaven: What Dying Taught Me About Living,37.8,2,17,40.0,Standard,Healthy Stock
Big Magic: Creative Living Beyond Fear,30.8,3,17,60.0,Standard,Healthy Stock
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,20,40.0,Standard,Healthy Stock
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,12,40.0,Budget,Healthy Stock
Batman: The Long Halloween (Batman),36.5,2,7,40.0,Standard,Healthy Stock
Batman: The Dark Knight Returns (Batman),15.38,5,2,100.0,Budget,Low Stock
Ayumi's Violin,15.48,2,3,40.0,Budget,Low Stock
Anonymous,46.82,4,17,80.0,Premium,Healthy Stock
Amy Meets the Saints and Sages,18.46,3,5,60.0,Budget,Healthy Stock
Amid the Chaos,36.58,1,17,20.0,Standard,Healthy Stock
Amatus,50.54,5,24,100.0,Premium,Healthy Stock
Agnostic: A Spirited Manifesto,12.51,5,17,100.0,Budget,Healthy Stock
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,17,60.0,Budget,Healthy Stock
You (You #1),43.61,5,2,100.0,Premium,Low Stock
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,2,80.0,Standard,Low Stock
Wild Swans,14.36,2,22,40.0,Budget,Healthy Stock
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,23,80.0,Premium,Healthy Stock
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,5,80.0,Standard,Healthy Stock
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,1,40.0,Budget,Low Stock
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,1,20.0,Premium,Low Stock
Walt Disney's Alice in Wonderland,12.96,5,19,100.0,Budget,Healthy Stock
V for Vendetta (V for Vendetta Complete),37.1,4,2,80.0,Standard,Low Stock
Until Friday Night (The Field Party #1),46.31,2,21,40.0,Premium,Healthy Stock
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,12,40.0,Premium,Healthy Stock
Twenty Yawns,22.08,2,6,40.0,Budget,Healthy Stock
Through the Woods,25.38,2,23,40.0,Budget,Healthy Stock
This Is Where It Ends,27.12,2,4,40.0,Standard,Low Stock
The Year of Magical Thinking,43.04,2,23,40.0,Standard,Healthy Stock
The Wright Brothers,56.8,4,11,80.0,Premium,Healthy Stock
The White Queen (The Cousins' War #1),25.91,5,24,100.0,Budget,Healthy Stock
The Wedding Pact (The O'Malleys #2),32.61,3,17,60.0,Standard,Healthy Stock
The Time Keeper,27.88,5,6,100.0,Standard,Healthy Stock
The Testament of Mary,52.67,4,24,80.0,Premium,Healthy Stock
The Star-Touched Queen,46.02,5,5,100.0,Premium,Healthy Stock
The Songs of the Gods,44.48,5,20,100.0,Premium,Healthy Stock
The Song of Achilles,37.4,5,2,100.0,Standard,Low Stock
The Rosie Project (Don Tillman #1),54.04,1,6,20.0,Premium,Healthy Stock
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,22,60.0,Budget,Healthy Stock
The Marriage of Opposites,28.08,4,11,80.0,Standard,Healthy Stock
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,16,20.0,Budget,Healthy Stock
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,16,20.0,Premium,Healthy Stock
The Loney,23.4,1,1,20.0,Budget,Low Stock
The Literature Book (Big Ideas Simply Explained),17.43,3,9,60.0,Budget,Healthy Stock
The Last Mile (Amos Decker #2),54.21,2,6,40.0,Premium,Healthy Stock
The Immortal Life of Henrietta Lacks,40.67,2,16,40.0,Standard,Healthy Stock
The Hidden Oracle (The Trials of Apollo #1),52.26,2,3,40.0,Premium,Low Stock
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,20,60.0,Standard,Healthy Stock
The Guilty (Will Robie #4),13.82,2,4,40.0,Budget,Low Stock
The First Hostage (J.B. Collins #2),25.85,3,19,60.0,Budget,Healthy Stock
The Dovekeepers,48.78,1,3,20.0,Premium,Low Stock
The Darkest Lie,35.35,5,19,100.0,Standard,Healthy Stock
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,20,80.0,Premium,Healthy Stock
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,1,7,20.0,Budget,Healthy Stock
The 14th Colony (Cotton Malone #11),39.24,1,20,20.0,Standard,Healthy Stock
That Darkness (Gardiner and Renner #1),13.92,1,9,20.0,Budget,Healthy Stock
Tastes Like Fear (DI Marnie Rome #3),10.69,1,1,20.0,Budget,Low Stock
Take Me with You,45.21,3,8,60.0,Premium,Healthy Stock
Swell: A Year of Waves,45.58,1,7,20.0,Premium,Healthy Stock
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,18,100.0,Budget,Healthy Stock
Still Life with Bread Crumbs,26.41,3,8,60.0,Budget,Healthy Stock
Steve Jobs,39.5,5,1,100.0,Standard,Low Stock
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,11,80.0,Premium,Healthy Stock
Someone Like You (The Harrisons #2),52.79,5,25,100.0,Premium,Healthy Stock
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,25,80.0,Standard,Healthy Stock
Shtum,55.84,4,18,80.0,Premium,Healthy Stock
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,23,60.0,Premium,Healthy Stock
salt.,46.78,4,10,80.0,Premium,Healthy Stock
Robin War,47.82,3,3,60.0,Premium,Low Stock
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,7,40.0,Budget,Healthy Stock
Rain Fish,23.57,3,16,60.0,Budget,Healthy Stock
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,16,100.0,Premium,Healthy Stock
Pet Sematary,10.56,3,25,60.0,Budget,Healthy Stock
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,20,60.0,Premium,Healthy Stock
Once Was a Time,18.28,2,17,40.0,Budget,Healthy Stock
Old School (Diary of a Wimpy Kid #10),11.83,5,2,100.0,Budget,Low Stock
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,1,40.0,Budget,Low Stock
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,16,40.0,Standard,Healthy Stock
My Name Is Lucy Barton,41.56,1,12,20.0,Standard,Healthy Stock
My Mrs. Brown,24.48,3,5,60.0,Budget,Healthy Stock
My Kind of Crazy,40.36,1,5,20.0,Standard,Healthy Stock
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,23,20.0,Standard,Healthy Stock
More Than Music (Chasing the Dream #1),37.61,2,9,40.0,Standard,Healthy Stock
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,9,100.0,Standard,Healthy Stock
Luis Paints the World,53.95,3,3,60.0,Premium,Low Stock
Luckiest Girl Alive,49.83,3,19,60.0,Premium,Healthy Stock
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,16,40.0,Premium,Healthy Stock
Love Is a Mix Tape (Music #1),18.03,1,16,20.0,Budget,Healthy Stock
Looking for Lovely: Collecting the Moments that Matter,29.14,5,3,100.0,Standard,Low Stock
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,20,80.0,Premium,Healthy Stock
Let It Out: A Journey Through Journaling,26.79,5,24,100.0,Standard,Healthy Stock
Lady Midnight (The Dark Artifices #1),16.28,5,22,100.0,Budget,Healthy Stock
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,24,20.0,Budget,Healthy Stock
Island of Dragons (Unwanteds #7),29.65,1,1,20.0,Standard,Low Stock
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,24,80.0,Budget,Healthy Stock
I Am Pilgrim (Pilgrim #1),10.6,4,20,80.0,Budget,Healthy Stock
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,11,100.0,Budget,Healthy Stock
"Hush, Hush (Hush, Hush #1)",47.02,3,17,60.0,Premium,Healthy Stock
Hold Your Breath (Search and Rescue #1),28.82,1,8,20.0,Standard,Healthy Stock
Hamilton: The Revolution,58.79,3,4,60.0,Premium,Low Stock
Greek Mythic History,10.23,5,6,100.0,Budget,Healthy Stock
God: The Most Unpleasant Character in All Fiction,30.03,5,8,100.0,Standard,Healthy Stock
Glory over Everything: Beyond The Kitchen House,45.84,3,20,60.0,Premium,Healthy Stock
Feathers: Displays of Brilliant Plumage,49.05,3,3,60.0,Premium,Low Stock
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,16,80.0,Budget,Healthy Stock
Every Last Word,46.47,3,25,60.0,Premium,Healthy Stock
Eligible (The Austen Project #4),27.09,3,3,60.0,Standard,Low Stock
El Deafo,57.62,5,25,100.0,Premium,Healthy Stock
Eight Hundred Grapes,14.39,4,18,80.0,Budget,Healthy Stock
